timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage,experiment,sampling_interval_seconds,cpu_lag_15s,cpu_lag_30s,cpu_lag_45s,cpu_lag_60s,replicas_lag_15s,future_cpu_30s,future_observation_timestamp,actual_horizon_seconds,cpu_change_15s,cpu_change_30s,cpu_slope_30s,cpu_recent_mean,cpu_recent_max,cpu_recent_min,cpu_recent_std,replica_change_15s,cpu_above_target
2026-07-19 20:59:36+00:00,1,1,0.0,50.0,baseline,17.0,0.0,0.0,0.0,0.0,1.0,0.0,2026-07-19 21:00:07+00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
2026-07-19 20:59:51+00:00,1,1,0.0,50.0,baseline,15.0,0.0,0.0,0.0,0.0,1.0,0.0,2026-07-19 21:00:23+00:00,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
2026-07-19 21:00:07+00:00,1,1,0.0,50.0,baseline,16.0,0.0,0.0,0.0,0.0,1.0,0.0,2026-07-19 21:00:38+00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
2026-07-19 21:00:23+00:00,1,1,0.0,50.0,baseline,16.0,0.0,0.0,0.0,0.0,1.0,0.0,2026-07-19 21:00:54+00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
2026-07-19 21:00:38+00:00,1,1,0.0,50.0,baseline,15.0,0.0,0.0,0.0,0.0,1.0,163.0,2026-07-19 21:01:10+00:00,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
2026-07-19 21:00:54+00:00,1,1,0.0,50.0,baseline,16.0,0.0,0.0,0.0,0.0,1.0,163.0,2026-07-19 21:01:26+00:00,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0
2026-07-19 21:01:10+00:00,1,4,163.0,50.0,baseline,16.0,0.0,0.0,0.0,0.0,1.0,163.0,2026-07-19 21:01:41+00:00,31.0,163.0,163.0,5.433333333333334,40.75,163.0,0.0,81.5,0.0,113.0
2026-07-19 21:01:26+00:00,4,4,163.0,50.0,baseline,16.0,163.0,0.0,0.0,0.0,1.0,250.0,2026-07-19 21:01:57+00:00,31.0,0.0,163.0,5.433333333333334,81.5,163.0,0.0,94.108093877909,3.0,113.0
2026-07-19 21:01:41+00:00,4,4,163.0,50.0,baseline,15.0,163.0,163.0,0.0,0.0,4.0,250.0,2026-07-19 21:02:13+00:00,32.0,0.0,0.0,0.0,122.25,163.0,0.0,81.5,0.0,113.0
2026-07-19 21:01:57+00:00,4,5,250.0,50.0,baseline,16.0,163.0,163.0,163.0,0.0,4.0,250.0,2026-07-19 21:02:29+00:00,32.0,87.0,87.0,2.9,184.75,250.0,163.0,43.5,0.0,200.0
2026-07-19 21:02:13+00:00,5,5,250.0,50.0,baseline,16.0,250.0,163.0,163.0,163.0,4.0,250.0,2026-07-19 21:02:45+00:00,32.0,0.0,87.0,2.9,206.5,250.0,163.0,50.22947341949744,1.0,200.0
2026-07-19 21:02:29+00:00,5,5,250.0,50.0,baseline,16.0,250.0,250.0,163.0,163.0,5.0,240.0,2026-07-19 21:03:01+00:00,32.0,0.0,0.0,0.0,228.25,250.0,163.0,43.5,0.0,200.0
2026-07-19 21:02:45+00:00,5,5,250.0,50.0,baseline,16.0,250.0,250.0,250.0,163.0,5.0,240.0,2026-07-19 21:03:16+00:00,31.0,0.0,0.0,0.0,250.0,250.0,250.0,0.0,0.0,200.0
2026-07-19 21:03:01+00:00,5,10,240.0,50.0,baseline,16.0,250.0,250.0,250.0,250.0,5.0,240.0,2026-07-19 21:03:32+00:00,31.0,-10.0,-10.0,-0.3333333333333333,247.5,250.0,240.0,5.0,0.0,190.0
2026-07-19 21:03:16+00:00,10,10,240.0,50.0,baseline,15.0,240.0,250.0,250.0,250.0,5.0,240.0,2026-07-19 21:03:49+00:00,33.0,0.0,-10.0,-0.3333333333333333,245.0,250.0,240.0,5.773502691896258,5.0,190.0
2026-07-19 21:03:32+00:00,10,10,240.0,50.0,baseline,16.0,240.0,240.0,250.0,250.0,10.0,189.0,2026-07-19 21:04:04+00:00,32.0,0.0,0.0,0.0,242.5,250.0,240.0,5.0,0.0,190.0
2026-07-19 21:03:49+00:00,10,10,240.0,50.0,baseline,17.0,240.0,240.0,240.0,250.0,10.0,189.0,2026-07-19 21:04:20+00:00,31.0,0.0,0.0,0.0,240.0,240.0,240.0,0.0,0.0,190.0
2026-07-19 21:04:04+00:00,10,10,189.0,50.0,baseline,15.0,240.0,240.0,240.0,240.0,10.0,189.0,2026-07-19 21:04:36+00:00,32.0,-51.0,-51.0,-1.7,227.25,240.0,189.0,25.5,0.0,139.0
2026-07-19 21:04:20+00:00,10,10,189.0,50.0,baseline,16.0,189.0,240.0,240.0,240.0,10.0,189.0,2026-07-19 21:04:52+00:00,32.0,0.0,-51.0,-1.7,214.5,240.0,189.0,29.444863728670914,0.0,139.0
2026-07-19 21:04:36+00:00,10,10,189.0,50.0,baseline,16.0,189.0,189.0,240.0,240.0,10.0,184.0,2026-07-19 21:05:08+00:00,32.0,0.0,0.0,0.0,201.75,240.0,189.0,25.5,0.0,139.0
2026-07-19 21:04:52+00:00,10,10,189.0,50.0,baseline,16.0,189.0,189.0,189.0,240.0,10.0,184.0,2026-07-19 21:05:24+00:00,32.0,0.0,0.0,0.0,189.0,189.0,189.0,0.0,0.0,139.0
2026-07-19 21:05:08+00:00,10,10,184.0,50.0,baseline,16.0,189.0,189.0,189.0,189.0,10.0,184.0,2026-07-19 21:05:40+00:00,32.0,-5.0,-5.0,-0.16666666666666666,187.75,189.0,184.0,2.5,0.0,134.0
2026-07-19 21:05:24+00:00,10,10,184.0,50.0,baseline,16.0,184.0,189.0,189.0,189.0,10.0,184.0,2026-07-19 21:05:55+00:00,31.0,0.0,-5.0,-0.16666666666666666,186.5,189.0,184.0,2.886751345948129,0.0,134.0
2026-07-19 21:05:40+00:00,10,10,184.0,50.0,baseline,16.0,184.0,184.0,189.0,189.0,10.0,182.0,2026-07-19 21:06:11+00:00,31.0,0.0,0.0,0.0,185.25,189.0,184.0,2.5,0.0,134.0
2026-07-19 21:05:55+00:00,10,10,184.0,50.0,baseline,15.0,184.0,184.0,184.0,189.0,10.0,182.0,2026-07-19 21:06:27+00:00,32.0,0.0,0.0,0.0,184.0,184.0,184.0,0.0,0.0,134.0
2026-07-19 21:06:11+00:00,10,10,182.0,50.0,baseline,16.0,184.0,184.0,184.0,184.0,10.0,182.0,2026-07-19 21:06:43+00:00,32.0,-2.0,-2.0,-0.06666666666666667,183.5,184.0,182.0,1.0,0.0,132.0
2026-07-19 21:06:27+00:00,10,10,182.0,50.0,baseline,16.0,182.0,184.0,184.0,184.0,10.0,183.0,2026-07-19 21:06:59+00:00,32.0,0.0,-2.0,-0.06666666666666667,183.0,184.0,182.0,1.1547005383792515,0.0,132.0
2026-07-19 21:06:43+00:00,10,10,182.0,50.0,baseline,16.0,182.0,182.0,184.0,184.0,10.0,183.0,2026-07-19 21:07:15+00:00,32.0,0.0,0.0,0.0,182.5,184.0,182.0,1.0,0.0,132.0
2026-07-19 21:06:59+00:00,10,10,183.0,50.0,baseline,16.0,182.0,182.0,182.0,184.0,10.0,183.0,2026-07-19 21:07:30+00:00,31.0,1.0,1.0,0.03333333333333333,182.25,183.0,182.0,0.5,0.0,133.0
2026-07-19 21:07:15+00:00,10,10,183.0,50.0,baseline,16.0,183.0,182.0,182.0,182.0,10.0,183.0,2026-07-19 21:07:46+00:00,31.0,0.0,1.0,0.03333333333333333,182.5,183.0,182.0,0.5773502691896257,0.0,133.0
2026-07-19 21:07:30+00:00,10,10,183.0,50.0,baseline,15.0,183.0,183.0,182.0,182.0,10.0,183.0,2026-07-19 21:08:01+00:00,31.0,0.0,0.0,0.0,182.75,183.0,182.0,0.5,0.0,133.0
2026-07-19 21:07:46+00:00,10,10,183.0,50.0,baseline,16.0,183.0,183.0,183.0,182.0,10.0,183.0,2026-07-19 21:08:17+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:08:01+00:00,10,10,183.0,50.0,baseline,15.0,183.0,183.0,183.0,183.0,10.0,183.0,2026-07-19 21:08:33+00:00,32.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:08:17+00:00,10,10,183.0,50.0,baseline,16.0,183.0,183.0,183.0,183.0,10.0,183.0,2026-07-19 21:08:48+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:08:33+00:00,10,10,183.0,50.0,baseline,16.0,183.0,183.0,183.0,183.0,10.0,183.0,2026-07-19 21:09:04+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:08:48+00:00,10,10,183.0,50.0,baseline,15.0,183.0,183.0,183.0,183.0,10.0,183.0,2026-07-19 21:09:20+00:00,32.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:09:04+00:00,10,10,183.0,50.0,baseline,16.0,183.0,183.0,183.0,183.0,10.0,183.0,2026-07-19 21:09:35+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:09:20+00:00,10,10,183.0,50.0,baseline,16.0,183.0,183.0,183.0,183.0,10.0,183.0,2026-07-19 21:09:51+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:09:35+00:00,10,10,183.0,50.0,baseline,15.0,183.0,183.0,183.0,183.0,10.0,181.0,2026-07-19 21:10:06+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:09:51+00:00,10,10,183.0,50.0,baseline,16.0,183.0,183.0,183.0,183.0,10.0,181.0,2026-07-19 21:10:22+00:00,31.0,0.0,0.0,0.0,183.0,183.0,183.0,0.0,0.0,133.0
2026-07-19 21:10:06+00:00,10,10,181.0,50.0,baseline,15.0,183.0,183.0,183.0,183.0,10.0,181.0,2026-07-19 21:10:38+00:00,32.0,-2.0,-2.0,-0.06666666666666667,182.5,183.0,181.0,1.0,0.0,131.0
2026-07-19 21:10:22+00:00,10,10,181.0,50.0,baseline,16.0,181.0,183.0,183.0,183.0,10.0,181.0,2026-07-19 21:10:53+00:00,31.0,0.0,-2.0,-0.06666666666666667,182.0,183.0,181.0,1.1547005383792515,0.0,131.0
2026-07-19 21:10:38+00:00,10,10,181.0,50.0,baseline,16.0,181.0,181.0,183.0,183.0,10.0,91.0,2026-07-19 21:11:09+00:00,31.0,0.0,0.0,0.0,181.5,183.0,181.0,1.0,0.0,131.0
2026-07-19 21:10:53+00:00,10,10,181.0,50.0,baseline,15.0,181.0,181.0,181.0,183.0,10.0,91.0,2026-07-19 21:11:25+00:00,32.0,0.0,0.0,0.0,181.0,181.0,181.0,0.0,0.0,131.0
2026-07-19 21:11:09+00:00,10,10,91.0,50.0,baseline,16.0,181.0,181.0,181.0,181.0,10.0,91.0,2026-07-19 21:11:40+00:00,31.0,-90.0,-90.0,-3.0,158.5,181.0,91.0,45.0,0.0,41.0
2026-07-19 21:11:25+00:00,10,10,91.0,50.0,baseline,16.0,91.0,181.0,181.0,181.0,10.0,91.0,2026-07-19 21:11:56+00:00,31.0,0.0,-90.0,-3.0,136.0,181.0,91.0,51.96152422706632,0.0,41.0
2026-07-19 21:11:40+00:00,10,10,91.0,50.0,baseline,15.0,91.0,91.0,181.0,181.0,10.0,17.0,2026-07-19 21:12:12+00:00,32.0,0.0,0.0,0.0,113.5,181.0,91.0,45.0,0.0,41.0
2026-07-19 21:11:56+00:00,10,10,91.0,50.0,baseline,16.0,91.0,91.0,91.0,181.0,10.0,17.0,2026-07-19 21:12:27+00:00,31.0,0.0,0.0,0.0,91.0,91.0,91.0,0.0,0.0,41.0
2026-07-19 21:12:12+00:00,10,10,17.0,50.0,baseline,16.0,91.0,91.0,91.0,91.0,10.0,17.0,2026-07-19 21:12:43+00:00,31.0,-74.0,-74.0,-2.466666666666667,72.5,91.0,17.0,37.0,0.0,-33.0
2026-07-19 21:12:27+00:00,10,10,17.0,50.0,baseline,15.0,17.0,91.0,91.0,91.0,10.0,17.0,2026-07-19 21:12:58+00:00,31.0,0.0,-74.0,-2.466666666666667,54.0,91.0,17.0,42.72391992003231,0.0,-33.0
2026-07-19 21:12:43+00:00,10,10,17.0,50.0,baseline,16.0,17.0,17.0,91.0,91.0,10.0,0.0,2026-07-19 21:13:14+00:00,31.0,0.0,0.0,0.0,35.5,91.0,17.0,37.0,0.0,-33.0
2026-07-19 21:12:58+00:00,10,10,17.0,50.0,baseline,15.0,17.0,17.0,17.0,91.0,10.0,0.0,2026-07-19 21:13:30+00:00,32.0,0.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,-33.0
