split,rows,MAE,RMSE,R2
training,791,11.36283185840708,32.2867603289814,0.8694621817608974
validation,301,4.883720930232558,16.065273830713686,0.945623626326313
testing,156,6.564102564102564,15.527890539779852,0.22635418382042427
