timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage,experiment
2026-07-19T21:58:32+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T21:58:48+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T21:59:04+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T21:59:19+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T21:59:36+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T21:59:51+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:00:07+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:00:23+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:00:38+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:00:54+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:01:10+01:00,1.0,4.0,163.0,50.0,baseline
2026-07-19T22:01:26+01:00,4.0,4.0,163.0,50.0,baseline
2026-07-19T22:01:41+01:00,4.0,4.0,163.0,50.0,baseline
2026-07-19T22:01:57+01:00,4.0,5.0,250.0,50.0,baseline
2026-07-19T22:02:13+01:00,5.0,5.0,250.0,50.0,baseline
2026-07-19T22:02:29+01:00,5.0,5.0,250.0,50.0,baseline
2026-07-19T22:02:45+01:00,5.0,5.0,250.0,50.0,baseline
2026-07-19T22:03:01+01:00,5.0,10.0,240.0,50.0,baseline
2026-07-19T22:03:16+01:00,10.0,10.0,240.0,50.0,baseline
2026-07-19T22:03:32+01:00,10.0,10.0,240.0,50.0,baseline
2026-07-19T22:03:49+01:00,10.0,10.0,240.0,50.0,baseline
2026-07-19T22:04:04+01:00,10.0,10.0,189.0,50.0,baseline
2026-07-19T22:04:20+01:00,10.0,10.0,189.0,50.0,baseline
2026-07-19T22:04:36+01:00,10.0,10.0,189.0,50.0,baseline
2026-07-19T22:04:52+01:00,10.0,10.0,189.0,50.0,baseline
2026-07-19T22:05:08+01:00,10.0,10.0,184.0,50.0,baseline
2026-07-19T22:05:24+01:00,10.0,10.0,184.0,50.0,baseline
2026-07-19T22:05:40+01:00,10.0,10.0,184.0,50.0,baseline
2026-07-19T22:05:55+01:00,10.0,10.0,184.0,50.0,baseline
2026-07-19T22:06:11+01:00,10.0,10.0,182.0,50.0,baseline
2026-07-19T22:06:27+01:00,10.0,10.0,182.0,50.0,baseline
2026-07-19T22:06:43+01:00,10.0,10.0,182.0,50.0,baseline
2026-07-19T22:06:59+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:07:15+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:07:30+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:07:46+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:08:01+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:08:17+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:08:33+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:08:48+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:09:04+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:09:20+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:09:35+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:09:51+01:00,10.0,10.0,183.0,50.0,baseline
2026-07-19T22:10:06+01:00,10.0,10.0,181.0,50.0,baseline
2026-07-19T22:10:22+01:00,10.0,10.0,181.0,50.0,baseline
2026-07-19T22:10:38+01:00,10.0,10.0,181.0,50.0,baseline
2026-07-19T22:10:53+01:00,10.0,10.0,181.0,50.0,baseline
2026-07-19T22:11:09+01:00,10.0,10.0,91.0,50.0,baseline
2026-07-19T22:11:25+01:00,10.0,10.0,91.0,50.0,baseline
2026-07-19T22:11:40+01:00,10.0,10.0,91.0,50.0,baseline
2026-07-19T22:11:56+01:00,10.0,10.0,91.0,50.0,baseline
2026-07-19T22:12:12+01:00,10.0,10.0,17.0,50.0,baseline
2026-07-19T22:12:27+01:00,10.0,10.0,17.0,50.0,baseline
2026-07-19T22:12:43+01:00,10.0,10.0,17.0,50.0,baseline
2026-07-19T22:12:58+01:00,10.0,10.0,17.0,50.0,baseline
2026-07-19T22:13:14+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:13:30+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:13:45+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:14:01+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:14:17+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:14:33+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:14:48+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:15:04+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:15:20+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:15:36+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:15:51+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:16:07+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:16:23+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:16:39+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:16:55+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:17:10+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:17:26+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:17:41+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:17:57+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:18:12+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:18:28+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:18:44+01:00,10.0,10.0,0.0,50.0,baseline
2026-07-19T22:18:59+01:00,10.0,1.0,0.0,50.0,baseline
2026-07-19T22:19:15+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:19:30+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:19:46+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:20:02+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:20:17+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:20:33+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:20:49+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:21:04+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:21:20+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:21:35+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:21:51+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:22:07+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:22:22+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:22:38+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:22:53+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:23:09+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:23:25+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T22:23:40+01:00,1.0,1.0,0.0,50.0,baseline
2026-07-19T23:34:02+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:08+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:14+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:19+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:25+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:30+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:36+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:41+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:47+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:52+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:34:58+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:03+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:09+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:15+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:21+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:27+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:32+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:38+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:44+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:49+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:35:55+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:36:01+01:00,1.0,1.0,0.0,50.0,gradual_ramp
2026-07-19T23:36:06+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:12+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:18+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:24+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:29+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:35+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:41+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:46+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:52+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:36:57+01:00,1.0,1.0,42.0,50.0,gradual_ramp
2026-07-19T23:37:03+01:00,1.0,4.0,246.0,50.0,gradual_ramp
2026-07-19T23:37:09+01:00,1.0,4.0,246.0,50.0,gradual_ramp
2026-07-19T23:37:15+01:00,1.0,4.0,246.0,50.0,gradual_ramp
2026-07-19T23:37:21+01:00,4.0,5.0,246.0,50.0,gradual_ramp
