threshold,rows,model,MAE,RMSE,R2
>10,60,Persistence Baseline,20.95,22.677080940897135,-0.7596386624350937
>10,60,Linear Regression,18.721183924727896,20.61873559547534,-0.4546993817094134
>10,60,Random Forest,15.769634679826348,18.328610699678677,-0.14949818280866656
>10,60,Gradient Boosting,15.320483172154574,18.020303804017463,-0.11115184625732022
>20,21,Persistence Baseline,30.428571428571427,31.37105125976586,-1.4862342751082696
>20,21,Linear Regression,28.325125545321345,29.267067338608037,-1.1639255671029205
>20,21,Random Forest,21.345261468690047,24.26038681726499,-0.48689173322555757
>20,21,Gradient Boosting,21.893452107902633,25.03693342069838,-0.5836024809502829
